region,num_sessions,installs,orders,revenue,revenue_quartile,region_russian,revenue_per_order,gmv,conversion,avg_check,rich_hotel_count,not_rich_hotel_count,tour_count,nature_feat,nature_feat_rating_mean,not_rich_hotel_feat_rating_mean,rich_hotel_feat_rating_mean,tour_feat_rating_mean,nature_feat_rating_std,not_rich_hotel_feat_rating_std,rich_hotel_feat_rating_std,tour_feat_rating_std,средний доход,20тый персентиль дохода,40ой персентиль дохода,60тый персентиль дохода,80тый персентиль дохода,доля населения с доходом ниже медианы по региону,население с доходом ниже границы бедности,население,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,моложе 18,Возраст от 18 до 25,Возраст от 25 до 30,Возраст от 31 до 40,Возраст от 41 до 50,Возраст от 51 до 60,Старше 60,мужчины,мужчины моложе трудоспособного возраста,мужчины трудоспособного возраста,мужчины старше трудоспособного возраста,женщины,мужчины моложе трудоспособного возраста.1,женщины трудоспособного возраста,женщины старше трудоспособного возраста,городские мужчины,городские мужчины моложе трудоспособного возраста,городские мужчины в трудоспособном возрасте,городские мужчины в трудоспособном возрасте.1,городские женщины,городские женщины моложе трудоспособного возраста,городские женщины в трудоспо-собном возрасте,городские женщины старше трудоспо-собного возраста,оценка туристского потока (число поездок),оценка туристского потока (число ночевок),доход от гостиниц/отелей/хостелов в год (тыс),число турфирм
Crimea,0.0777161344364389,0.0963181480115749,0.0716666666666666,0.0699355784030973,High,Республика Крым,1.2701331332042625,0.0050120497855553,0.922159435571002,0.9758452800432192,2.0,0.0,0.0,0.0,,,5.0,,,,0.0,,32842,11999,20034,27536,37946,12.4,14.2,1931091,363696,1072344,495051,401722,137966,108978,317866,269543,242258,452758,894762,184258,559671,150833,1036329,179438,512673,344218,443428,89861,279939,73628,530803,87638,264332,178833,3153224,21955418,36318786.3,144
Crimea,0.0777161344364389,0.0963181480115749,0.0716666666666666,0.0699355784030973,High,Республика Крым,1.2701331332042625,0.0050120497855553,0.922159435571002,0.9758452800432192,2.0,0.0,0.0,0.0,,,5.0,,,,0.0,,39471,14463,24121,33124,45609,12.3,9.3,547452,93079,329288,125085,103652,46331,32829,101220,81201,67419,114800,260690,47839,172162,40689,286762,45240,157126,84396,239987,44411,157965,37611,265299,42029,145073,78197,286913,1685366,2822435.3,66
Crimea,0.0777161344364389,0.0963181480115749,0.0716666666666666,0.0699355784030973,High,Республика Крым,1.2701331332042625,0.0050120497855553,0.922159435571002,0.9758452800432192,2056.0,6.0,405.0,546.0,4.663003663003663,5.0,4.64931906614786,4.718518518518518,0.81723709291833,0.0,0.8857232179572341,0.754378491667723,32842,11999,20034,27536,37946,12.4,14.2,1931091,363696,1072344,495051,401722,137966,108978,317866,269543,242258,452758,894762,184258,559671,150833,1036329,179438,512673,344218,443428,89861,279939,73628,530803,87638,264332,178833,3153224,21955418,36318786.3,144
Crimea,0.0777161344364389,0.0963181480115749,0.0716666666666666,0.0699355784030973,High,Республика Крым,1.2701331332042625,0.0050120497855553,0.922159435571002,0.9758452800432192,2056.0,6.0,405.0,546.0,4.663003663003663,5.0,4.64931906614786,4.718518518518518,0.81723709291833,0.0,0.8857232179572341,0.754378491667723,39471,14463,24121,33124,45609,12.3,9.3,547452,93079,329288,125085,103652,46331,32829,101220,81201,67419,114800,260690,47839,172162,40689,286762,45240,157126,84396,239987,44411,157965,37611,265299,42029,145073,78197,286913,1685366,2822435.3,66
Crimea,0.0777161344364389,0.0963181480115749,0.0716666666666666,0.0699355784030973,High,Республика Крым,1.2701331332042625,0.0050120497855553,0.922159435571002,0.9758452800432192,6.0,0.0,7.0,4.0,5.0,,5.0,4.714285714285714,0.0,,0.0,0.48795003647426666,32842,11999,20034,27536,37946,12.4,14.2,1931091,363696,1072344,495051,401722,137966,108978,317866,269543,242258,452758,894762,184258,559671,150833,1036329,179438,512673,344218,443428,89861,279939,73628,530803,87638,264332,178833,3153224,21955418,36318786.3,144
Crimea,0.0777161344364389,0.0963181480115749,0.0716666666666666,0.0699355784030973,High,Республика Крым,1.2701331332042625,0.0050120497855553,0.922159435571002,0.9758452800432192,6.0,0.0,7.0,4.0,5.0,,5.0,4.714285714285714,0.0,,0.0,0.48795003647426666,39471,14463,24121,33124,45609,12.3,9.3,547452,93079,329288,125085,103652,46331,32829,101220,81201,67419,114800,260690,47839,172162,40689,286762,45240,157126,84396,239987,44411,157965,37611,265299,42029,145073,78197,286913,1685366,2822435.3,66
Leningrad Oblast,0.0704565181763552,0.0628433572290173,0.0484782608695652,0.0552953007060173,High,Ленинградская область,1.543783837006661,0.0026806200124873,0.6880592757681038,1.1406205526801778,,,,,,,,,,,,,44494,15196,26058,36501,51283,13.8,7.0,2006022,280124,1221888,504010,313341,167868,120924,380773,307147,257945,458024,943187,143987,645748,153452,1062835,136137,576140,350558,624223,94436,429605,100182,722696,89417,396043,237236,8774793,36160423,13227631.8,121
Orenburg Oblast,0.0687326628102484,0.0881322616733645,0.0281159420289855,0.036832325817415,Medium,Оренбургская область,1.8723250189787872,0.0010355755374751,0.4090623130171128,1.310015712062699,181.0,1.0,39.0,59.0,4.271186440677966,4.0,4.596685082872928,4.743589743589744,1.2152835411253688,,0.9532342927858343,0.6373443553217201,36601,11267,20109,28986,41930,15.8,11.6,1855781,360892,1039313,455576,401018,148758,99145,292264,258597,247465,408534,861284,186231,538213,136840,994497,174661,501100,318736,501823,103362,323340,75121,606907,97206,320611,189090,912871,3712638,1945770.4,153
Smolensk Oblast,0.0682470697493732,0.0672073924537971,0.0484782608695652,0.0560862954260039,High,Смоленская область,1.5658675375794302,0.0027189660608693,0.710334686127831,1.1569370356933544,352.0,4.0,72.0,32.0,4.59375,5.0,4.642045454545454,4.722222222222222,0.8747119341485718,0.0,0.8720048081245798,0.7547450315158154,43716,12404,22824,33631,49751,17.2,12.3,886900,140553,502275,244072,156376,64279,46257,145442,130660,124210,219676,402440,72116,263101,67223,484460,68437,239174,176849,285693,52981,186783,45929,358576,50492,179442,128642,493297,1863858,942324.0,75
Kaliningrad Oblast,0.0676127638136051,0.0639808501196867,0.0438405797101449,0.0536504304828356,High,Калининградская область,1.6730514395092655,0.0023520659740663,0.6484068574833685,1.223761885393606,762.0,37.0,519.0,135.0,4.666666666666667,4.783783783783784,4.639107611548557,4.747591522157996,0.7726674092862559,0.7503752814845804,0.8545730682680122,0.7351286092963462,43287,14592,25150,35359,49862,14.1,10.8,1030979,183973,603185,243821,204784,87871,57538,175488,151438,133506,220354,487967,94754,317645,75568,543012,89219,285540,168253,370716,71551,239884,59281,420644,67195,220078,133371,1325935,5902659,7536169.1,117
